probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p21;0,2404;0,251;1,6914;21;1264,967;27,578;81,647;26,541;81,545;142,599;55,981;28,77;8,992;0,782;1,946;0,514;0,969;Old
p21;0,1815;-0,078;1,6948;21;2853,03;86,947;79,225;86,571;79,719;263,767;108,932;33,347;162,638;0,515;3,267;0,306;0,922;Old
p21;0,1797;0,0986;1,5821;21;2513,103;150,984;129,092;149,251;125,211;235,816;97,817;32,712;142,256;0,568;2,99;0,334;0,943;Old
p21;0,3465;0,2455;1,8728;21;2678,989;207,344;189,178;204,604;186,031;242,394;96,89;35,205;124,748;0,573;2,752;0,363;0,869;Old
p21;0,4066;0,2243;1,7426;21;3606,631;69,301;199,931;71,297;197,067;352,011;146,173;31,416;34,766;0,366;4,653;0,215;0,891;Old
p21;0,3853;0,3963;1,7343;21;2524,902;50,724;57,658;57,667;59,626;247,78;110,611;29,064;159,779;0,517;3,806;0,263;0,935;Old
p21;0,324;0,1836;1,7663;21;2107,237;129,36;71,752;129,736;73,292;245,916;113,408;23,658;172,692;0,438;4,794;0,209;0,922;Old
p21;0,374;0,195;1,8444;21;5815,205;74,386;134,52;72,701;137,269;342,737;136,714;54,158;31,309;0,622;2,524;0,396;0,939;Old
p22;0,4976;0,383;1,7132;22;2211,639;64,67;215,529;66,778;219,616;230,072;84,026;33,513;131,323;0,525;2,507;0,399;0,901;Old
p22;0,4131;0,7096;1,7863;22;3229,397;78,487;178,327;79,104;181,758;356,379;98,096;41,916;149,489;0,32;2,34;0,427;0,62;Old
p22;0,4069;0,6101;1,7505;22;3412,461;175,187;159,472;188,607;158,928;329,542;146,216;29,716;8,62;0,395;4,921;0,203;0,831;Old
p22;0,3568;0,5384;1,7689;22;7041,651;150,28;116,818;147,846;115,81;386,234;172,166;52,076;178,853;0,593;3,306;0,302;0,969;Old
p22;0,366;0,5732;1,7913;22;2677,08;192,901;79,478;203,619;75,512;258,005;109,19;31,217;13,888;0,505;3,498;0,286;0,923;Old
